imageName X Y Z Omega Phi Kappa
100_0005_0130.JPG 7505794.204064 5790019.411476 244.341608 -0.465456 -0.136218 -82.337496
100_0005_0135.JPG 7505952.674979 5790017.220514 244.327540 -0.405638 -0.130303 -79.823088
100_0005_0140.JPG 7506111.839693 5790015.745835 244.282944 -0.487417 -0.176686 -79.793554
100_0005_0145.JPG 7506244.645728 5790014.196256 244.157989 -0.785805 -0.293648 -91.206548
100_0005_0150.JPG 7506209.989470 5789942.954666 244.270888 -0.443078 0.037346 92.796195
100_0005_0155.JPG 7506062.105889 5789943.377725 244.171878 -0.244326 0.017849 88.604809
100_0005_0160.JPG 7505905.098697 5789945.565067 244.250215 -0.060084 -0.193218 87.839812
100_0005_0165.JPG 7505750.071463 5789946.941429 244.284286 0.016269 -0.261418 87.132004
100_0005_0170.JPG 7505591.605060 5789949.830091 244.288603 -0.050275 -0.382849 87.531053
100_0005_0175.JPG 7505432.318493 5789951.774086 244.348155 0.002219 -0.474461 87.871982
100_0005_0180.JPG 7505273.246589 5789953.401445 244.323380 -0.045305 -0.368579 89.677741
100_0005_0185.JPG 7505113.889918 5789954.961410 244.309998 0.060291 -0.119624 88.119165
100_0005_0190.JPG 7504956.763993 5789957.052066 244.221663 0.174320 -0.035711 87.659465
100_0005_0195.JPG 7504853.265906 5789943.658876 244.211873 -0.006588 0.204010 165.188840
100_0005_0200.JPG 7504886.269750 5789886.050860 244.374566 -0.418533 0.001753 -82.672844
100_0005_0205.JPG 7505045.128824 5789884.320542 244.258873 -0.478292 -0.126751 -84.399564
100_0005_0210.JPG 7505203.701472 5789882.653197 244.285022 -0.440762 -0.294964 -84.025321
100_0005_0215.JPG 7505363.110962 5789880.736919 244.218801 -0.378457 -0.179065 -84.816376
100_0005_0220.JPG 7505522.059224 5789879.113798 244.267521 -0.368562 -0.402337 -84.492993
100_0005_0225.JPG 7505680.858040 5789877.313182 244.365649 -0.383333 -0.431262 -83.485373
100_0005_0230.JPG 7505840.390272 5789875.516346 244.328495 -0.390329 -0.348367 -83.556662
100_0005_0235.JPG 7505999.343130 5789873.797049 244.286259 -0.330539 -0.422242 -83.509454
100_0005_0240.JPG 7506158.349185 5789872.185079 244.373847 -0.384146 -0.397754 -83.251539
100_0005_0245.JPG 7506186.266578 5789813.279629 244.513592 -0.477085 -0.526433 167.645826
100_0005_0250.JPG 7506110.724037 5789791.026736 244.310783 -0.324533 -0.025653 91.610371
100_0005_0255.JPG 7505992.213890 5789779.467274 244.292947 -0.032863 0.332718 91.157017
100_0005_0260.JPG 7505854.718872 5789791.641953 244.080106 0.082055 0.636600 88.872291
100_0005_0265.JPG 7505711.134552 5789801.348041 244.233915 0.169676 0.425990 87.791381
100_0005_0270.JPG 7505556.532572 5789805.790362 244.260133 -0.001548 0.032404 87.336824
100_0005_0275.JPG 7505399.369885 5789806.596237 244.315269 0.069866 -0.126639 87.953971
100_0005_0280.JPG 7505240.227147 5789810.495834 244.318759 0.003287 -0.131594 87.817876
100_0005_0285.JPG 7505079.965612 5789811.996001 244.277818 0.049560 -0.026514 90.245982
100_0006_0001.JPG 7504940.394802 5789813.601921 244.361854 0.658760 0.372856 107.327448
100_0006_0006.JPG 7504825.924837 5789815.179113 244.383861 0.395331 -0.040176 96.510186
